node,degree,clustering,eigenvector,betweenness,closeness,is_bot
52,2,1.0,2.1165285159495728e-07,0.0,0.26112260734609416,0
53,31,0.3827956989247312,9.315426117405499e-07,0.0,0.26161321671525756,0
54,8,0.5714285714285714,2.5381261955004794e-07,0.0,0.2612239617026782,0
55,17,0.8308823529411765,9.982470311456912e-07,0.0,0.2613761408505405,0
56,78,0.34865134865134867,2.6366379741395313e-05,0.0021171855908675235,0.27585735756250856,1
57,15,0.5238095238095238,4.211448525795591e-07,0.0,0.2613423079412336,0
58,12,0.2727272727272727,0.0005898120154985171,0.08804240117675492,0.3974018305284913,0
59,19,0.7777777777777778,5.185075583635661e-07,1.0270121745475464e-06,0.2614099825208778,0
60,8,0.6785714285714286,7.389823247074877e-07,0.0,0.2612239617026782,0
61,3,0.6666666666666666,2.1309924189850115e-07,0.0,0.2611394942766604,0
62,26,0.5230769230769231,1.0480310720344275e-06,0.0,0.26152849740932643,0
63,6,1.0,4.1236503348485877e-07,0.0,0.26119016817593793,0
64,7,0.9523809523809523,2.713065606170404e-07,5.521402267179901e-06,0.2790408403012922,0
65,12,0.5,6.051887725449037e-07,2.0647503248083836e-06,0.2612915749967646,0
66,15,0.8761904761904762,1.2731710213783302e-06,0.0,0.2613423079412336,0
67,76,0.36140350877192984,2.6674028086937563e-05,0.002247963441213355,0.27581967213114755,1
68,9,0.8333333333333334,2.215965528432378e-07,0.0,0.2612408617454875,0
69,10,0.6444444444444445,6.001155179628284e-07,0.0,0.26125776397515527,0
70,2,1.0,2.1168797016997866e-07,0.0,0.26112260734609416,0
71,3,1.0,2.130793527418473e-07,0.0,0.2611394942766604,0
72,24,0.605072463768116,7.321880694397925e-07,2.9498544972277006e-06,0.26149462504856885,0
73,10,0.5333333333333333,2.526339746355996e-07,0.0,0.26125776397515527,0
74,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
75,14,0.7582417582417582,9.487325073453163e-07,7.489782619329565e-07,0.26132539477090344,0
76,3,1.0,2.246971005449556e-07,0.0,0.2611394942766604,0
77,6,0.6,2.423162262820322e-07,0.0,0.26119016817593793,0
78,9,1.0,2.2135803346558037e-07,0.0,0.2612408617454875,0
79,12,0.9393939393939394,5.042070479439274e-07,3.0349744168294537e-07,0.2612915749967646,0
80,23,0.5217391304347826,5.829688943218434e-07,3.993825995156738e-05,0.2679140127388535,0
81,3,0.6666666666666666,2.3546233025642665e-07,0.0,0.2611394942766604,0
82,34,0.41711229946524064,8.953960456355655e-07,0.0,0.26166407465007774,0
83,7,0.8571428571428571,2.3934747731679905e-07,0.0,0.2612070638463031,0
84,13,0.4230769230769231,4.4393270134604735e-07,5.922392181658713e-06,0.2613084837895554,0
85,14,0.6483516483516484,6.218399102825083e-07,1.200470332957723e-06,0.26132539477090344,0
86,6,1.0,2.1745012502533326e-07,0.0,0.26119016817593793,0
87,13,0.6410256410256411,2.5353932977449386e-05,2.7232203221020374e-05,0.27463782901448686,0
88,20,0.3368421052631579,7.788173777900159e-07,0.0,0.26142690664249646,0
89,8,0.6785714285714286,2.198438094304251e-07,0.0,0.2612239617026782,0
90,2,1.0,2.1163531066753916e-07,0.0,0.26112260734609416,0
91,8,0.6785714285714286,2.1973746334830285e-07,0.0,0.2612239617026782,0
92,21,0.7761904761904762,2.6177120551499574e-07,0.0,0.2614438329556491,0
93,8,0.8571428571428571,2.201797330620387e-07,0.0,0.2612239617026782,0
94,22,0.6666666666666666,4.3187807994812516e-07,0.0,0.26146076146076147,0
95,6,0.8666666666666667,2.1707392791581983e-07,0.0,0.26119016817593793,0
96,9,0.3888888888888889,4.104148511514432e-07,0.0,0.2612408617454875,0
97,3,0.6666666666666666,2.130110549045412e-07,0.0,0.2611394942766604,0
98,49,0.5246598639455783,1.8651974910044857e-06,1.2144670686065373e-05,0.26191866121813584,0
99,13,0.6410256410256411,2.2710379624244594e-07,3.5395719853858e-07,0.2613084837895554,0
100,9,0.6111111111111112,2.690026832037136e-07,0.0,0.2612408617454875,0
101,19,0.8304093567251462,2.5443101452882274e-07,0.0,0.2614099825208778,0
102,6,1.0,2.174157330625746e-07,0.0,0.26119016817593793,0
103,16,0.55,2.509601726022742e-05,5.562478172199702e-05,0.2746938775510204,0
104,32,0.6088709677419355,1.4355684549795195e-06,4.9483051340682504e-06,0.2616301671634055,0
105,14,0.6703296703296703,6.40839152362538e-07,8.795300084898049e-07,0.26132539477090344,0
106,8,0.42857142857142855,4.032095292632716e-07,0.0,0.2612239617026782,0
107,1045,0.049038479165520905,0.00026069399119670256,0.46712975076442403,0.45969945355191255,1
108,13,0.7948717948717948,4.078017501028578e-07,1.2084599303640409e-06,0.2613084837895554,0
109,37,0.53003003003003,1.916116743643399e-06,0.0,0.26171495236243436,0
110,5,1.0,2.1574871103769876e-07,0.0,0.2611732746911584,0
111,14,0.5604395604395604,2.2883459016186963e-07,4.345807826501455e-06,0.26132539477090344,0
112,3,1.0,2.130829117045202e-07,0.0,0.2611394942766604,0
113,40,0.5371794871794872,1.5024273155549714e-06,0.0,0.2617658498638662,0
114,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
115,21,0.5333333333333333,2.3881877710848615e-07,0.0,0.2614438329556491,0
116,17,0.6617647058823529,2.3335209685156938e-07,0.0,0.2613761408505405,0
117,6,0.4666666666666667,3.927631429000689e-07,0.0,0.26119016817593793,0
118,36,0.5365079365079365,1.2615924480514825e-06,3.480070322678868e-06,0.26169799092676604,0
119,62,0.28714965626652567,2.0670379385755196e-06,0.001196289122041726,0.2801054384017758,1
120,4,0.5,2.421567884166865e-05,2.6876724700177297e-05,0.27446982055464925,0
121,12,0.4696969696969697,7.413493831688895e-07,4.509252768179563e-06,0.2612915749967646,0
122,63,0.38556067588325654,2.627505468539507e-05,0.0012379887845692416,0.27557496758343003,1
123,18,0.6928104575163399,8.351280919517666e-07,3.849294847545244e-06,0.2613930605903677,0
124,4,0.5,2.2445903442673028e-07,0.0,0.26115638339154057,0
125,4,0.6666666666666666,2.4367123374130393e-05,4.924859499435003e-06,0.27446982055464925,0
126,7,0.7619047619047619,3.9253767861127476e-07,0.0,0.2612070638463031,0
127,16,0.7333333333333333,4.112819163506726e-07,4.359662211797788e-06,0.2613592233009709,0
128,28,0.5952380952380952,1.5434415237660647e-06,0.0,0.2615623785464438,0
129,7,0.9047619047619048,5.528361634802619e-07,0.0,0.2612070638463031,0
130,16,0.35833333333333334,6.088185760204502e-07,0.0,0.2613592233009709,0
131,7,1.0,2.1871799866693316e-07,0.0,0.2612070638463031,0
132,16,0.4,6.372458133770611e-07,0.0,0.2613592233009709,0
133,18,0.5882352941176471,6.703645332316179e-07,0.0,0.2613930605903677,0
134,19,0.7076023391812866,1.0052301487235237e-06,0.0,0.2614099825208778,0
135,10,1.0,2.330970230012664e-07,0.0,0.26125776397515527,0
136,133,0.32137161084529503,0.00389437464847358,0.03688816956691464,0.2941862159405508,1
137,16,0.5333333333333333,2.315517663714835e-07,3.18954764460876e-06,0.2613592233009709,0
138,2,1.0,2.117508593464441e-07,0.0,0.26112260734609416,0
139,9,0.9722222222222222,2.3287761152211187e-07,0.0,0.2612408617454875,0
140,11,0.8909090909090909,2.249020295067922e-07,0.0,0.2612746683921061,0
141,28,0.5555555555555556,1.0678734136582829e-06,2.678472981430503e-06,0.2615623785464438,0
142,43,0.530454042081949,2.005832064754141e-06,2.4137942013952218e-05,0.261816767165921,0
143,12,0.6060606060606061,2.2557970819250845e-07,1.59280739342361e-06,0.2612915749967646,0
144,15,0.7047619047619048,2.305236184409256e-07,0.0,0.2613423079412336,0
145,2,1.0,2.1163531066753916e-07,0.0,0.26112260734609416,0
146,10,0.4666666666666667,2.455092978679452e-05,8.4503163883708e-05,0.27458180334557325,0
147,6,0.9333333333333333,2.1709041695161263e-07,0.0,0.26119016817593793,0
148,20,0.42105263157894735,6.646870160904736e-07,1.0025470813764709e-05,0.26142690664249646,0
149,14,0.7802197802197802,2.28960556049616e-07,0.0,0.26132539477090344,0
150,11,0.5636363636363636,4.4159545758983443e-07,3.984541838101833e-05,0.2791179926729799,0
151,7,0.9047619047619048,2.1904032885314403e-07,6.882501082694612e-07,0.2612070638463031,0
152,5,0.7,3.711546319119012e-07,0.0,0.2611732746911584,0
153,2,1.0,2.2060595804479308e-07,0.0,0.26112260734609416,0
154,2,1.0,2.1166094245479166e-07,0.0,0.26112260734609416,0
155,3,0.6666666666666666,2.130824071472065e-07,0.0,0.2611394942766604,0
156,12,0.5303030303030303,2.4579904124867865e-05,0.00029774778960101755,0.27461915125136016,0
157,3,0.6666666666666666,2.1303025769127772e-07,8.259001299233533e-07,0.2611394942766604,0
158,25,0.3566666666666667,1.1780556141717562e-06,2.3856544301985255e-05,0.2615115601321158,0
159,14,0.6263736263736264,4.3496795749773475e-07,9.085974026728216e-06,0.26132539477090344,0
160,2,1.0,2.1374245591388144e-07,0.0,0.26112260734609416,0
161,25,0.5466666666666666,1.9606496195465963e-06,0.0,0.2615115601321158,0
162,8,0.8571428571428571,2.2043825115584638e-07,0.0,0.2612239617026782,0
163,6,0.5333333333333333,2.3535402307354674e-07,6.308571998902637e-06,0.2676121678043608,0
164,3,0.6666666666666666,3.761981852660197e-07,0.0,0.2611394942766604,0
165,11,0.6,5.936055623191569e-07,0.0,0.2612746683921061,0
166,4,0.6666666666666666,2.1717063788057475e-07,0.0,0.2677186236159915,0
167,7,0.9047619047619048,2.1862563470844002e-07,0.0,0.2612070638463031,0
168,11,0.6909090909090909,7.453441029602216e-07,0.0,0.2612746683921061,0
169,38,0.4395448079658606,2.5749071292822103e-05,0.00110607586788836,0.27510560021801334,0
170,46,0.4714975845410628,1.8442210668047118e-06,8.01639691766255e-05,0.26186770428015566,0
171,22,0.21645021645021645,6.169412033699879e-06,0.015436089274553252,0.37049270575282134,0
172,41,0.45975609756097563,1.1306354099890158e-06,6.137992180242695e-06,0.26178282009724474,0
173,12,0.24242424242424243,5.20232937297206e-07,0.0032253375676919564,0.28904795991410165,0
174,4,0.8333333333333334,2.143985756358222e-07,0.0,0.26115638339154057,0
175,17,0.4264705882352941,2.487582225879143e-07,0.0,0.2613761408505405,0
176,14,0.7252747252747253,4.993987532397147e-07,0.0,0.26132539477090344,0
177,11,0.7636363636363637,2.242984638524588e-07,3.5395719853858e-07,0.2612746683921061,0
178,13,0.46153846153846156,6.041528426876911e-07,7.93889051294578e-06,0.2613084837895554,0
179,3,0.6666666666666666,2.1294201190852726e-07,0.0,0.2611394942766604,0
180,20,0.7578947368421053,2.641380407986715e-07,0.0,0.26142690664249646,0
181,10,0.8666666666666667,2.2364157028893605e-07,0.0,0.26125776397515527,0
182,3,0.6666666666666666,2.1295915113824532e-07,0.0,0.2611394942766604,0
183,2,1.0,2.144548122164338e-07,0.0,0.26112260734609416,0
184,18,0.6339869281045751,4.2008582516178646e-07,6.035059618213733e-06,0.2613930605903677,0
185,26,0.5384615384615384,1.5087404162585571e-06,9.241279832177563e-06,0.26152849740932643,0
186,44,0.4978858350951374,1.6891526013995935e-06,4.647081711204914e-05,0.26183374400207493,0
187,16,0.8583333333333333,2.492503554539716e-07,0.0,0.2613592233009709,0
188,48,0.45567375886524825,1.9999681739498322e-06,5.310080256501734e-06,0.2619016733687897,0
189,7,0.9523809523809523,2.713065606170404e-07,5.521402267179901e-06,0.2790408403012922,0
190,4,0.5,2.1584895599947877e-07,0.0,0.26115638339154057,0
191,3,1.0,2.1982754613143587e-07,0.0,0.2611394942766604,0
192,5,0.4,2.1575775006800953e-07,0.0,0.2611732746911584,0
193,5,0.7,2.1573220907409644e-07,0.0,0.2611732746911584,0
194,19,0.8245614035087719,2.576242819618544e-07,0.0,0.2614099825208778,0
195,9,1.0,2.2135803346558037e-07,0.0,0.2612408617454875,0
196,13,0.717948717948718,5.601583078615533e-07,0.0,0.2613084837895554,0
197,16,0.7416666666666667,4.1573947735938935e-07,4.235777192309285e-06,0.2613592233009709,0
198,12,0.4696969696969697,3.555774100849156e-07,0.0016240917898412465,0.2854920814479638,0
199,47,0.47178538390379277,1.5207716212891247e-06,7.520821410015006e-06,0.2618846877229392,0
200,57,0.4342105263157895,2.0875584132522845e-06,3.7172202705746254e-05,0.2620546433902265,0
201,4,1.0,2.1440824921210015e-07,0.0,0.26115638339154057,0
202,4,0.6666666666666666,2.2117625094334107e-07,1.9231674453929513e-06,0.26757670134517264,0
203,57,0.42857142857142855,2.214317416201959e-06,3.589072038395628e-05,0.2620546433902265,1
204,22,0.5887445887445888,4.4835242031137673e-07,0.0,0.26146076146076147,0
205,2,1.0,2.1165285159495728e-07,0.0,0.26112260734609416,0
206,4,0.5,2.2205513870161373e-07,0.0,0.26115638339154057,0
207,3,1.0,5.38418590727924e-07,0.0,0.2611394942766604,0
208,7,0.8571428571428571,4.359288749756325e-07,0.0,0.2612070638463031,0
209,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
210,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
211,30,0.6,1.200015004539347e-06,7.344423801096853e-06,0.26159626846333245,0
212,18,0.6993464052287581,9.742383989944487e-07,0.0,0.2613930605903677,0
213,39,0.30364372469635625,2.6162087362596887e-05,0.0007179959736035545,0.2751243442120324,0
214,17,0.5661764705882353,2.332640018761148e-07,0.0,0.2613761408505405,0
215,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
216,2,1.0,2.1168083905373196e-07,0.0,0.26112260734609416,0
217,8,0.8214285714285714,4.2446591267883045e-07,1.3511986024188343e-05,0.27906012439530065,0
218,9,1.0,2.2135803346558037e-07,0.0,0.2612408617454875,0
219,6,0.7333333333333333,2.1705691016014018e-07,0.0,0.26119016817593793,0
220,4,1.0,2.1465678033104076e-07,0.0,0.26115638339154057,0
221,8,0.8571428571428571,7.365710439170791e-07,0.0,0.2612239617026782,0
222,11,0.7454545454545455,4.3667239419083505e-07,1.41582879415432e-06,0.2612746683921061,0
223,27,0.7207977207977208,1.23445572624129e-06,0.0,0.261545436880627,0
224,28,0.5211640211640212,1.5206653082191618e-06,0.0,0.2615623785464438,0
225,10,0.8444444444444444,2.2296451145789512e-07,3.5395719853858e-07,0.26125776397515527,0
226,14,0.8131868131868132,2.2910029518520856e-07,0.0,0.26132539477090344,0
227,15,0.5428571428571428,2.298761112711906e-07,3.5395719853858e-07,0.2613423079412336,0
228,3,1.0,2.1588092169688921e-07,0.0,0.2611394942766604,0
229,6,0.5333333333333333,2.497226678750919e-07,0.0,0.26119016817593793,0
230,9,0.2777777777777778,2.2139596969006048e-07,0.0,0.2612408617454875,0
231,21,0.4523809523809524,8.288259328870449e-07,7.214872255110196e-06,0.2614438329556491,0
232,25,0.62,1.1942645389386699e-06,0.0,0.2615115601321158,0
233,2,1.0,2.1162712130634827e-07,0.0,0.26112260734609416,0
234,2,1.0,2.2317063723832e-07,0.0,0.26112260734609416,0
235,5,0.8,6.908164050023532e-07,0.0,0.2611732746911584,0
236,37,0.4099099099099099,1.7262705827233199e-06,6.879258402912793e-06,0.26171495236243436,0
237,7,0.8571428571428571,2.3934747731679905e-07,0.0,0.2612070638463031,0
238,23,0.7154150197628458,6.917657130456066e-07,1.448811169472688e-06,0.2614776921582594,0
239,59,0.418468731735827,2.0845135786940673e-06,2.3876512467184478e-05,0.26208866099824757,1
240,3,0.6666666666666666,2.144610241933294e-07,0.0,0.2611394942766604,0
241,2,1.0,2.1164366083017275e-07,0.0,0.26112260734609416,0
242,24,0.5978260869565217,5.953782015491649e-07,0.0,0.26149462504856885,0
243,8,0.6428571428571429,2.2024954261417524e-07,1.5141502381928147e-06,0.2612239617026782,0
244,2,1.0,2.1162712130634827e-07,0.0,0.26112260734609416,0
245,5,0.7,2.1585479935571607e-07,0.0,0.2611732746911584,0
246,14,0.5934065934065934,2.5666580639295228e-05,2.235218452390897e-05,0.2746565093184601,0
247,3,0.6666666666666666,3.612878460231674e-07,0.0,0.2611394942766604,0
248,21,0.5047619047619047,1.0123818257043236e-06,0.0,0.2614438329556491,0
249,24,0.6268115942028986,7.449774134612845e-07,0.0,0.26149462504856885,0
250,5,0.8,4.065834721812274e-07,0.0,0.2611732746911584,0
251,14,0.7802197802197802,5.568719448115e-07,1.558394888010137e-06,0.26132539477090344,0
252,65,0.4033653846153846,2.5939957925083553e-06,6.243097600347405e-05,0.2621907668333225,1
253,3,0.6666666666666666,2.130110549045412e-07,0.0,0.2611394942766604,0
254,17,0.9044117647058824,2.5034871529730487e-07,0.0,0.2613761408505405,0
255,2,1.0,2.1164366083017275e-07,0.0,0.26112260734609416,0
256,2,1.0,2.1162712130634827e-07,0.0,0.26112260734609416,0
257,18,0.5032679738562091,9.586755598516798e-07,1.9220878373799794e-06,0.2613930605903677,0
258,15,0.4857142857142857,4.797410888700042e-07,7.339476863084051e-07,0.2613423079412336,0
259,8,0.6785714285714286,2.1973746334830285e-07,0.0,0.2612239617026782,0
260,8,0.39285714285714285,5.549415735227251e-07,0.0,0.2612239617026782,0
261,38,0.4751066856330014,1.1036322482791778e-06,3.3706156232308814e-05,0.2617319159968888,0
262,4,1.0,2.1465678033104076e-07,0.0,0.26115638339154057,0
263,7,0.9523809523809523,2.1878409646215869e-07,0.0,0.2612070638463031,0
264,5,1.0,2.1574871103769876e-07,0.0,0.2611732746911584,0
265,27,0.6410256410256411,7.415857167058421e-07,0.0,0.261545436880627,0
266,18,0.8823529411764706,2.5387831957621347e-07,0.0,0.2613930605903677,0
267,2,1.0,2.117588831782126e-07,0.0,0.26112260734609416,0
268,11,0.9090909090909091,2.956953971522641e-07,0.0,0.2612746683921061,0
269,6,0.4666666666666667,3.866299736071056e-06,0.0009386590435475204,0.2917840884456969,0
270,4,0.8333333333333334,2.3827091310420748e-07,0.0,0.26115638339154057,0
271,73,0.386986301369863,2.3411405713014694e-06,2.6464189497264447e-05,0.2623270317676866,1
272,45,0.35353535353535354,1.7680441793359516e-06,0.0,0.2618507230400104,1
273,9,1.0,2.2135803346558037e-07,0.0,0.2612408617454875,0
274,14,0.5604395604395604,6.220636707419901e-07,0.0,0.26132539477090344,0
275,10,0.8666666666666667,2.2364157028893605e-07,0.0,0.26125776397515527,0
276,18,0.7516339869281046,8.402602455627398e-07,0.0,0.2613930605903677,0
277,65,0.3466346153846154,2.868922806339134e-06,0.00020097697774876987,0.2621907668333225,1
278,10,0.8,2.229301004528747e-07,3.5395719853858e-07,0.26125776397515527,0
279,2,1.0,2.1173432362574754e-07,0.0,0.26112260734609416,0
280,43,0.4673311184939092,1.6684602480353666e-06,6.187187618139253e-06,0.261816767165921,0
281,16,0.7416666666666667,5.703872719208763e-07,4.359662211797788e-06,0.2613592233009709,0
282,2,1.0,2.1162712130634827e-07,0.0,0.26112260734609416,0
283,5,0.6,2.3644599551643322e-07,0.0,0.2611732746911584,0
284,16,0.7,5.657604108605427e-07,2.4078921645027287e-06,0.2613592233009709,0
285,47,0.43293246993524515,2.6149286936079148e-05,0.0016225961251821275,0.27527438816551913,0
286,2,1.0,2.1177409877636159e-07,0.0,0.26112260734609416,0
287,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
288,4,0.8333333333333334,3.9757083217021723e-07,0.0,0.26115638339154057,0
289,4,0.8333333333333334,2.1463936312060157e-07,0.0,0.26115638339154057,0
290,14,0.8241758241758241,8.14785573247029e-07,0.0,0.26132539477090344,0
291,36,0.38095238095238093,1.5780468372013128e-06,4.5456698554542844e-05,0.26169799092676604,0
292,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
293,3,1.0,2.130829117045202e-07,0.0,0.2611394942766604,0
294,3,0.6666666666666666,2.2950704718907147e-07,0.0,0.2611394942766604,0
295,10,0.5333333333333333,4.382012125777609e-07,0.0,0.26125776397515527,0
296,7,0.9523809523809523,2.1878409646215869e-07,0.0,0.2612070638463031,0
297,25,0.72,1.389417223986168e-06,1.7796081614085862e-06,0.2615115601321158,0
298,11,0.9454545454545454,4.5143188481435364e-07,0.0,0.2612746683921061,0
299,20,0.6842105263157895,2.573352695348782e-07,0.0,0.26142690664249646,0
300,7,0.7619047619047619,2.254053993430907e-07,0.0,0.2612070638463031,0
301,3,0.6666666666666666,3.657358061157561e-07,0.0,0.2611394942766604,0
302,20,0.7526315789473684,4.179630412566643e-07,0.0,0.26142690664249646,0
303,21,0.580952380952381,1.4552323604270868e-06,9.241170644548978e-06,0.2614438329556491,0
304,55,0.3872053872053872,2.635391336005351e-05,0.0010055004931122135,0.2754245958665848,1
305,2,1.0,2.1183892300236588e-07,0.0,0.26112260734609416,0
306,9,1.0,2.2135803346558037e-07,0.0,0.2612408617454875,0
307,4,0.6666666666666666,2.2402437267092587e-07,0.0,0.26115638339154057,0
308,24,0.4746376811594203,2.5628166373303165e-05,0.00010450162953699601,0.2748434522188946,0
309,10,1.0,2.330970230012664e-07,0.0,0.26125776397515527,0
310,13,0.5384615384615384,2.2712835369616487e-07,0.0,0.2613084837895554,0
311,7,0.5238095238095238,2.545473196613505e-07,0.0,0.2612070638463031,0
312,26,0.4276923076923077,2.456255185318896e-07,0.0,0.26152849740932643,0
313,37,0.5015015015015015,1.5599135373909556e-06,5.123314877765433e-06,0.26171495236243436,0
314,13,0.4230769230769231,3.084634467520455e-07,2.4201823450075407e-06,0.2613084837895554,0
315,56,0.31623376623376626,2.678122299149308e-05,0.0006213206629503569,0.27544338335607094,1
316,2,1.0,2.1761346669110567e-07,0.0,0.26112260734609416,0
317,7,0.5238095238095238,3.910914135993622e-07,0.0,0.2612070638463031,0
318,11,0.5272727272727272,4.4898313799102054e-07,1.0580281209851444e-06,0.2612746683921061,0
319,8,0.6785714285714286,2.198438094304251e-07,0.0,0.2612239617026782,0
320,21,0.48095238095238096,2.717205927142878e-07,1.3320678621466174e-05,0.2614438329556491,0
321,3,1.0,2.1325904216179572e-07,0.0,0.2611394942766604,0
322,72,0.2918622848200313,2.6898065653012543e-05,0.0012658024901421477,0.27574433214968586,1
323,39,0.4844804318488529,1.922579727575786e-06,1.5938889293080333e-05,0.26174888183055683,0
324,26,0.36615384615384616,2.5017724614579756e-05,0.00021077747184841894,0.2748808713410483,0
325,39,0.601889338731444,1.3259034564843772e-06,4.082860855448988e-06,0.26174888183055683,0
326,19,0.6666666666666666,2.3618050782163647e-07,0.0,0.2614099825208778,0
327,4,1.0,2.1439298874895417e-07,0.0,0.26115638339154057,0
328,9,1.0,2.2135803346558037e-07,0.0,0.2612408617454875,0
329,30,0.22528735632183908,1.0125492149317772e-06,1.1380766736209697e-05,0.26159626846333245,0
330,16,0.825,2.521439116361841e-07,0.0,0.2613592233009709,0
331,20,0.5263157894736842,6.705442364436374e-07,3.3085165918953387e-06,0.26142690664249646,0
332,43,0.42081949058693247,1.948162492221933e-06,1.8982921200512124e-05,0.261816767165921,0
333,8,0.7857142857142857,2.2025594436021256e-07,0.0,0.2612239617026782,0
334,28,0.5105820105820106,1.5205441246894845e-06,0.0,0.2615623785464438,0
335,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
336,3,1.0,2.2802840914529702e-07,0.0,0.2611394942766604,0
337,9,0.8055555555555556,2.2153976755663311e-07,0.0,0.2612408617454875,0
338,7,0.6666666666666666,4.2146742959382925e-07,0.0,0.2612070638463031,0
339,27,0.25925925925925924,2.543516839130832e-05,0.0006264521858929135,0.2748995847232623,0
340,6,0.7333333333333333,9.98551123768018e-07,0.0,0.26119016817593793,0
341,12,0.7727272727272727,7.843754004334942e-07,0.0,0.2612915749967646,0
342,34,0.5775401069518716,1.4192970693891684e-06,0.0,0.26166407465007774,0
